0,5.40E+17,2014-12-03 07:01:05+00:00,conniempp wwi began in sarajevo wwiii to begin when angry bosnian immigrants assassinate black racist wh trojan horse justiceforzemir
0,1.32E+18,2020-10-24 17:05:38+00:00,nsheth4 janet63388900 alivelshi pretty sure you can do that in canada too as shown by the example of his father in the 1980s not sure how many poc who were immigrants were getting elected to office in the us in that time period
0,6.42E+17,2015-09-11 16:33:44+00:00,immigration is stressful for all immigrants go places for a better life still happens here now europe is being humane help and prayer
0,1.08E+18,2019-01-07 15:39:48+00:00,motorcitihawk relbtx ingrahamangle wolfblitzer thedemocrats absurd is the fool who fell for mexico will pay for it now its our tax dollars being used you really think a wall will deter crime and drugs tell me of the 300 mass shootings last year how many were by illegal immigrants
1,4.36E+17,2014-02-20 02:41:36+00:00,christiisilvaxx you can get somethin better with coke money if cuban immigrants can do it i think i can
0,1.25E+18,2020-04-22 02:42:28+00:00,trump continues to use the covid19 pandemic to push his xenophobic policies against his favorite target immigrants its the biggest slap in face that the government left us out said a us citizen married to a man from mexico its already such a stressful time 
0,6.75E+17,2015-12-09 23:47:38+00:00,gottalaff last month it was the mexican immigrants trump was going after this month the muslim community his views are so dangerous
0,1.19E+18,2019-10-28 01:52:55+00:00,trump and the chef have feuded for years following andréss decision to cancel his planned restaurant in the presidents dc hotel over trumps rhetoric about mexican immigrants when announcing his white house bid in 2015
1,8.26E+17,2017-01-29 14:00:43+00:00,jesus is coming back yes hes being detained at jfk airport with some other middle eastern immigrants with no passport
0,1.50E+18,2022-03-08 12:25:27+00:00,malkiel was a vocal proponent of womens equality and the right to vote in her pamphlets columns and speeches she argued that true equality for women african americans immigrants and child laborers would only come through socialism
0,8.19E+17,2017-01-11 20:23:32+00:00,aaldef maryswilling womensmarch lorisums chinese immigrants were denied entry amp citizenship nothing abt native born more plz
0,1.47E+18,2021-12-06 04:50:49+00:00,bravo to pope francis and his outspokenness on european efforts to take in refugees and immigrants the same should be applied to those american politicians who continually wipe their hands of any responsibility
1,1.16E+18,2019-08-12 22:44:09+00:00,get ready for marshallaw after the elections russians will be out on the streets because our army wont be trump is gona welcome the invaders like in panama when we went there after noriega in this case noriega is invading us 
0,1.23E+18,2020-02-18 22:29:37+00:00,again you see thousands of stories like this and yet there are people who will make memes or imply that irish or italian immigrants suffered worse than black people 
0,1.02E+18,2018-07-06 04:47:57+00:00,fake woke people make the jobs of real activists like me 1000 times harder mexican immigrants arent our problem well if we let the treatment of hispanics slide who you think they coming for next so woke you sleep stay hiding behind the screen as a twitter activist
